adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/4hYxesnrRHiFLo1rctaKtzBiMvW.jpg,"[80, 18, 53]",3112,en,The Night of the Hunter,"In the Deep South, a serial-killing preacher hunts two young children who know the whereabouts of a stash of money.",16.157,/rBka0nFWiHxabHRLr0KfIA8Yiaq.jpg,1955-08-26,The Night of the Hunter,False,7.9,1430
False,/tAwgmXKnQ6WVczwcIq5LKFr0LDb.jpg,[18],25538,zh,一一,"Each member of a family in Taipei asks hard questions about life's meaning as they live through everyday quandaries. NJ is morose: his brother owes him money, his mother is in a coma, his wife suffers a spiritual crisis when she finds her life a blank and his business partners make bad decisions.",13.755,/hTPkCpK9SLGDMXRbUwzoep0MxOx.jpg,2000-09-20,Yi Yi,False,7.9,470
False,/oMpX8thZFDVZNS4j240HYSMMvyg.jpg,"[18, 27, 53]",827,fr,Les Diaboliques,"The cruel and abusive headmaster of a boarding school, Michel Delassalle, is murdered by an unlikely duo -- his meek wife and the mistress he brazenly flaunts. The women become increasingly unhinged by a series of odd occurrences after Delassalle's corpse mysteriously disappears.",10.538,/6wmNcHjXnBEhlAvsUUR6ytdLKHO.jpg,1955-01-29,Diabolique,False,7.884,861
False,/s46UYRkMY33leTQ9Y6gc3XVJnHR.jpg,"[16, 12, 9648]",712454,fr,Le Sommet des dieux,A photojournalist's obsessive quest for the truth about the first expedition to Mt. Everest leads him to search for an esteemed climber who went missing.,10.764,/iowz7MwaTWMYlfLUE6GeM0m3Hze.jpg,2021-09-22,The Summit of the Gods,False,7.9,300
False,/qom1SZSENdmHFNZBXbtJAU0WTlC.jpg,"[10749, 18]",11036,en,The Notebook,"An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",63.204,/rNzQyW4f8B8cQeg7Dgj3n6eT5k9.jpg,2004-06-25,The Notebook,False,7.883,10727
False,/fRtQdiESAdt9rjXCvZhvkmprvac.jpg,"[16, 10752, 18]",435129,en,The Breadwinner,"A headstrong young girl in Afghanistan, ruled by the Taliban, disguises herself as a boy in order to provide for her family.",14.21,/2d6qmkJz9AWqmk9wBWtd2uFX89t.jpg,2017-11-17,The Breadwinner,False,7.882,763
False,/Ru4YeA6BpROEJkIwayqfBHkQ7O.jpg,"[53, 80, 18]",2721,fr,Z,"Amidst a heated political climate, the opposition leader is killed in what appears to be a traffic accident. When a magistrate finds evidence of a government cover-up, witnesses start to get targeted. A thinly-fictionalized account of the events surrounding the assassination of Greek politician Grigoris Lambrakis in 1963, Z captures the outrage about the military junta that ruled Greece at the time.",12.683,/dFAJyFNgvOv24f2RQyI9KDxjGr3.jpg,1969-02-26,Z,False,7.882,461
False,/eTHuVXsUMGGSCCvYdMxpS6KNurZ.jpg,"[10749, 18]",594634,de,Dem Horizont so nah,Jessica knows exactly what her life is supposed to look like and where it takes her. But then she meets Danny. He has a complicated past and could confuse all their plans. Jessica has to decide.,26.251,/zrpTa8JxNqd87G7HIqnynp9HpUc.jpg,2019-10-10,Close to the Horizon,False,7.881,453
False,/62pTb3zkfE2860lIqQFlxQ5tUEL.jpg,[18],48035,da,Ordet,"The three sons of devout Danish farmer Morten have widely disparate religious beliefs. Youngest son Anders shares his father's religion, but eldest son Mikkel has lost his faith, while middle child Johannes has become delusional and proclaims that he is Jesus Christ himself. When Mikkel's wife, Inger goes into a difficult childbirth, everyone's beliefs are put to the test.",7.972,/e3oh96Zrqdaku8DoD10pXZHLZoU.jpg,1955-01-09,Ordet,False,7.881,323
False,/4HagjGPF6dMGYlmx7mEfjLV2kQ0.jpg,"[35, 18]",3083,en,Mr. Smith Goes to Washington,"Naive and idealistic Jefferson Smith, leader of the Boy Rangers, is appointed to the United States Senate by the puppet governor of his state. He soon discovers, upon going to Washington, many shortcomings of the political process as his earnest goal of a national boys' camp leads to a conflict with the state political boss.",15.115,/nDjg1fbNyq15excNDl3acd2IqAk.jpg,1939-10-19,Mr. Smith Goes to Washington,False,7.881,945
